Epoch,Batch,D_Loss,G_Loss,D_Real,D_Fake
0,0,1.4255,1.7550,0.4319,0.4262
0,20,0.0088,5.7123,0.9962,0.0049
0,40,0.0039,6.3817,0.9984,0.0023
0,60,0.0077,7.3286,0.9945,0.0007
0,80,0.0033,7.0610,0.9979,0.0011
0,100,0.0049,14.3522,0.9958,0.0000
0,120,0.0028,7.7517,0.9983,0.0010
0,140,0.0014,11.8888,0.9986,0.0000
0,160,0.0024,10.1548,0.9978,0.0001
0,180,0.0198,6.1098,0.9874,0.0038
0,200,0.0302,9.3490,0.9729,0.0003
0,220,0.0161,7.1206,0.9881,0.0018
1,0,0.0382,7.2267,0.9687,0.0029
1,20,0.0055,9.0991,0.9948,0.0002
1,40,0.0200,5.1676,0.9903,0.0090
1,60,0.0323,8.2693,0.9719,0.0003
1,80,0.0255,8.5234,0.9768,0.0002
1,100,0.0156,8.2012,0.9867,0.0006
1,120,0.0094,6.6697,0.9927,0.0018
1,140,0.0139,5.1699,0.9989,0.0125
1,160,0.0164,5.0841,0.9923,0.0084
1,180,0.0040,6.7573,0.9975,0.0015
1,200,0.0032,9.4645,0.9970,0.0001
1,220,0.0067,5.8512,0.9973,0.0039
2,0,0.0447,6.8795,0.9623,0.0024
2,20,0.0088,7.9502,0.9920,0.0005
2,40,0.0112,7.9816,0.9908,0.0003
2,60,0.0226,8.0817,0.9820,0.0003
2,80,0.0023,8.5293,0.9981,0.0002
2,100,0.0134,5.9748,0.9901,0.0032
2,120,0.0220,6.9179,0.9813,0.0009
2,140,0.0097,6.7818,0.9932,0.0017
2,160,0.0128,11.5316,0.9879,0.0000
2,180,0.0238,5.1046,0.9848,0.0073
2,200,0.0252,5.6398,0.9824,0.0034
2,220,0.0189,4.2864,0.9977,0.0162
3,0,0.0189,5.9736,0.9899,0.0080
3,20,0.0529,4.8854,0.9734,0.0085
3,40,0.0122,7.2899,0.9889,0.0007
3,60,0.0064,6.3060,0.9975,0.0038
3,80,0.0025,9.0816,0.9994,0.0019
3,100,0.0056,6.9000,0.9963,0.0018
3,120,0.0006,8.1260,0.9999,0.0005
3,140,0.0118,5.6506,0.9933,0.0048
3,160,0.0067,6.1130,0.9973,0.0038
3,180,0.0059,6.5044,0.9964,0.0021
3,200,0.0056,6.1286,0.9982,0.0038
3,220,0.0149,5.5688,0.9911,0.0055
4,0,0.0034,8.3666,0.9968,0.0001
4,20,0.0101,6.1907,0.9939,0.0038
4,40,0.0019,7.6515,0.9989,0.0008
4,60,0.0049,6.4048,0.9997,0.0045
4,80,0.0094,6.0263,0.9951,0.0042
4,100,0.0029,7.7140,0.9989,0.0018
4,120,0.0112,6.8072,0.9907,0.0014
4,140,0.0028,7.1308,0.9997,0.0025
4,160,0.0216,5.8933,0.9882,0.0037
4,180,0.0040,7.4603,0.9983,0.0022
4,200,0.0065,12.6846,0.9938,0.0000
4,220,0.0227,5.6364,0.9842,0.0053
5,0,0.1293,7.5426,0.8972,0.0005
5,20,0.0236,9.1283,0.9855,0.0001
5,40,0.0145,11.6544,0.9869,0.0000
5,60,0.0046,7.0880,0.9972,0.0017
5,80,0.0040,8.5437,0.9986,0.0026
5,100,0.0007,12.4969,0.9994,0.0000
5,120,0.0072,7.2381,0.9944,0.0015
5,140,0.0039,6.8072,0.9984,0.0023
5,160,0.0063,14.7168,0.9940,0.0000
5,180,0.0048,9.0108,0.9955,0.0002
5,200,0.0236,8.4525,0.9786,0.0002
5,220,0.0023,7.0114,0.9994,0.0017
6,0,0.0094,5.9328,0.9973,0.0065
6,20,0.0117,6.8533,0.9905,0.0016
6,40,0.0014,7.7968,0.9989,0.0003
6,60,0.0079,5.9844,1.0000,0.0077
6,80,0.0061,6.9893,0.9956,0.0016
6,100,0.0150,6.5427,0.9877,0.0021
6,120,0.0030,7.1524,0.9988,0.0018
6,140,0.0011,7.7280,0.9998,0.0010
6,160,0.0013,9.1151,0.9990,0.0003
6,180,0.0099,10.4358,0.9928,0.0000
